Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Babe Ruth,- - -,2503,10616,714,2174,2217,123,19.4 %,12.5 %,.348,.340,.342,.474,.690,.513,197,168.4,1011327
Ted Williams,Red Sox,2292,9791,521,1798,1839,24,20.6 %,7.2 %,.289,.328,.344,.482,.634,.493,188,130.4,1014040
Lou Gehrig,Yankees,2164,9660,493,1888,1995,102,15.6 %,8.2 %,.292,.332,.340,.447,.632,.477,173,116.3,1004598
Jimmie Foxx,- - -,2317,9670,534,1751,1922,87,15.0 %,13.6 %,.284,.336,.325,.428,.609,.460,158,101.8,1004285
Rogers Hornsby,- - -,2259,9475,301,1579,1584,135,11.0 %,7.2 %,.218,.365,.358,.434,.577,.459,173,130.2,1006030
Hank Greenberg,- - -,1394,6096,331,1051,1276,58,14.0 %,13.8 %,.292,.323,.313,.412,.605,.453,154,61.1,1004996
Ty Cobb,- - -,3035,13072,117,2246,1937,892,9.6 %,4.1 %,.146,.378,.366,.433,.512,.445,165,149.3,1002378
Joe Jackson,- - -,1332,5690,54,873,785,202,9.1 %,3.7 %,.162,.351,.356,.423,.517,.443,165,60.5,1006301
Joe DiMaggio,Yankees,1736,7671,361,1390,1537,30,10.3 %,4.8 %,.254,.304,.325,.398,.579,.439,152,83.1,1003311
Tris Speaker,- - -,2789,11988,117,1882,1529,432,11.5 %,2.3 %,.156,.350,.345,.428,.500,.436,157,130.6,1012309
Dan Brouthers,- - -,1673,7658,106,1523,1296,256,11.0 %,3.1 %,.177,.344,.342,.423,.519,.436,156,79.5,1001486
Stan Musial,Cardinals,3026,12712,475,1949,1951,78,12.6 %,5.5 %,.228,.320,.331,.417,.559,.435,158,126.8,1009405
Barry Bonds,- - -,2976,12606,762,2227,1996,514,20.3 %,12.2 %,.309,.285,.298,.444,.607,.435,173,164.1,1109
John McGraw,- - -,1099,4926,13,1024,462,436,17.0 %,3.3 %,.076,.335,.334,.466,.410,.433,142,48.9,1008542
Billy Hamilton,- - -,1591,7584,40,1690,736,912,15.7 %,4.5 %,.088,.369,.344,.455,.432,.433,142,70.3,1005270
Johnny Mize,- - -,1884,7371,359,1118,1337,28,11.6 %,7.1 %,.250,.297,.312,.397,.562,.433,157,68.6,1009014
Bill Joyce,- - -,904,4149,70,820,607,264,17.3 %,9.2 %,.174,.321,.294,.435,.467,.430,140,33.4,1006633
Mel Ott,Giants,2730,11337,511,1859,1860,89,15.1 %,7.9 %,.229,.294,.304,.414,.533,.430,156,110.5,1009904
Ed Delahanty,- - -,1835,8389,101,1599,1464,455,8.8 %,5.3 %,.159,.344,.346,.411,.505,.428,144,73.7,1003155
Charlie Keller,- - -,1170,4604,189,725,760,45,17.0 %,10.8 %,.231,.289,.286,.410,.518,.428,152,46.0,1006768
Mickey Mantle,Yankees,2401,9909,536,1677,1509,153,17.5 %,17.3 %,.259,.318,.298,.421,.557,.428,170,112.3,1008082
Ralph Kiner,- - -,1472,6256,369,971,1015,22,16.2 %,12.0 %,.269,.264,.279,.398,.548,.427,147,47.6,1006923
Harry Heilmann,- - -,2148,8960,183,1291,1539,113,9.6 %,6.1 %,.179,.351,.342,.410,.520,.427,144,69.0,1005590
Lefty O'Doul,- - -,970,3659,113,624,542,36,9.1 %,3.3 %,.183,.339,.349,.413,.532,.426,142,27.0,1009734
Hack Wilson,- - -,1348,5556,244,884,1063,52,12.1 %,12.8 %,.238,.320,.307,.395,.545,.421,143,42.1,1014083
Ken Williams,- - -,1397,5616,196,860,913,154,10.1 %,5.1 %,.211,.310,.319,.393,.530,.420,134,40.4,1014012
Albert Pujols,- - -,1957,8546,492,1425,1498,93,12.5 %,9.8 %,.278,.306,.321,.410,.599,.420,161,87.4,1177
Manny Ramirez,- - -,2299,9774,555,1544,1831,38,13.6 %,18.5 %,.273,.338,.312,.411,.585,.418,153,66.8,210
Earl Averill,- - -,1668,7215,238,1224,1164,70,10.7 %,7.2 %,.216,.318,.318,.395,.534,.417,131,47.9,1000378
Frank Thomas,- - -,2322,10075,521,1494,1704,32,16.5 %,13.9 %,.254,.304,.301,.419,.555,.416,154,72.4,255
Jake Stenzel,- - -,766,3412,32,662,533,292,8.8 %,3.5 %,.142,.364,.339,.408,.480,.416,130,21.5,1012485
Mark McGwire,- - -,1866,7660,583,1167,1414,12,17.2 %,20.8 %,.325,.255,.263,.394,.588,.415,157,66.3,1008559
Mickey Cochrane,- - -,1482,6206,119,1041,832,64,13.8 %,3.5 %,.158,.317,.320,.419,.478,.413,132,50.6,1002384
Ray Grimes,- - -,433,1788,27,269,263,21,11.4 %,7.4 %,.151,.347,.329,.413,.480,.412,135,11.1,1005065
Larry Walker,- - -,1970,8030,383,1355,1311,230,11.4 %,15.3 %,.252,.332,.313,.400,.565,.412,140,69.0,455
Jesse Burkett,- - -,2066,9605,75,1720,952,389,10.7 %,6.0 %,.108,.367,.338,.415,.446,.411,137,66.6,1001682
Bob Johnson,- - -,1863,8047,288,1239,1283,96,13.4 %,10.6 %,.210,.305,.296,.393,.506,.411,133,57.0,1006428
Chuck Klein,- - -,1753,7168,300,1168,1201,79,8.4 %,7.3 %,.223,.314,.320,.379,.543,.411,133,42.8,1006991
Joey Votto,Reds,890,3790,157,529,530,47,14.9 %,18.5 %,.227,.359,.314,.419,.541,.411,156,33.0,4314
Al Simmons,- - -,2215,9515,307,1507,1827,88,6.5 %,7.7 %,.201,.340,.334,.380,.535,.410,130,69.3,1011978
Babe Herman,- - -,1552,6226,181,882,997,94,8.4 %,8.9 %,.207,.336,.324,.383,.532,.410,139,42.7,1005691
Gavvy Cravath,- - -,1220,4645,119,575,719,89,12.1 %,12.1 %,.191,.314,.287,.380,.478,.410,150,35.7,1002735
Eddie Collins,- - -,2826,12037,47,1821,1300,744,12.5 %,3.2 %,.096,.343,.333,.424,.429,.409,144,120.5,1002451
Sam Thompson,- - -,1407,6502,127,1256,1299,229,6.9 %,3.5 %,.174,.330,.331,.384,.505,.409,136,44.1,1013024
Willie Mays,- - -,2992,12493,660,2062,1903,338,11.7 %,12.2 %,.256,.299,.302,.384,.557,.409,154,149.9,1008315
Roger Connor,- - -,1997,8837,138,1620,1322,244,11.3 %,5.1 %,.169,.324,.317,.397,.486,.409,143,86.2,1002537
Honus Wagner,- - -,2792,11739,101,1736,1732,722,8.2 %,7.6 %,.139,.318,.327,.391,.466,.408,147,138.1,1013485
Joe Harris,- - -,970,3574,47,461,517,36,11.6 %,5.3 %,.155,.327,.317,.404,.472,.407,132,25.0,1005421
Miguel Cabrera,- - -,1660,7126,365,1064,1260,36,11.2 %,16.9 %,.247,.346,.321,.399,.568,.407,152,55.3,1744
Pete Browning,- - -,1183,5315,46,954,659,258,8.8 %,7.9 %,.125,.347,.341,.403,.467,.407,147,45.5,1001554
Bill Terry,Giants,1721,7111,154,1120,1078,56,7.6 %,6.3 %,.165,.350,.341,.393,.506,.407,137,57.0,1012927
Jack Fournier,- - -,1530,6033,136,822,859,145,9.7 %,6.9 %,.170,.323,.313,.392,.483,.406,141,42.2,1004264
Denny Lyons,- - -,1121,5010,62,932,755,224,12.4 %,6.7 %,.132,.320,.310,.407,.443,.406,134,37.6,1007880
Jackie Robinson,Dodgers,1382,5802,137,947,734,197,12.8 %,5.0 %,.162,.310,.311,.409,.474,.406,135,57.2,1011070
Jim Thome,- - -,2540,10313,612,1583,1699,19,16.9 %,24.7 %,.278,.322,.276,.402,.554,.406,145,67.8,409
Bill Lange,Colts,811,3609,39,689,578,399,9.7 %,4.1 %,.128,.337,.330,.401,.459,.406,122,24.8,1007315
Jeff Bagwell,Astros,2148,9431,449,1517,1529,202,14.9 %,16.5 %,.244,.317,.297,.408,.540,.405,149,80.3,547
Mike Trout,Angels,336,1490,62,258,196,86,12.5 %,20.5 %,.230,.366,.314,.404,.544,.405,163,21.1,10155
Edgar Martinez,Mariners,2049,8678,309,1219,1262,49,14.8 %,13.9 %,.204,.335,.312,.418,.515,.405,147,65.6,1086
Todd Helton,Rockies,2246,9453,369,1401,1406,37,14.1 %,12.4 %,.223,.330,.316,.414,.539,.405,132,55.7,432
Joe Kelley,- - -,1853,8120,65,1421,1194,443,11.2 %,5.9 %,.134,.358,.317,.402,.451,.405,130,54.9,1006776
Riggs Stephenson,- - -,1310,5134,63,714,773,53,9.6 %,4.8 %,.137,.346,.336,.407,.473,.405,132,33.1,1012500
Charlie Gehringer,Tigers,2323,10237,184,1774,1427,181,11.6 %,3.6 %,.160,.320,.320,.404,.480,.405,124,78.6,1004596
George Selkirk,Yankees,846,3322,108,503,576,49,14.6 %,9.6 %,.192,.297,.290,.400,.483,.404,128,23.7,1011732
Duke Snider,- - -,2143,8237,407,1259,1333,99,11.8 %,15.0 %,.244,.308,.295,.380,.540,.404,139,63.5,1012230
Mike Donlin,- - -,1049,4282,51,669,543,213,7.3 %,6.9 %,.136,.323,.333,.386,.468,.404,139,33.2,1003380
Frank Robinson,- - -,2808,11743,586,1829,1812,204,12.1 %,13.0 %,.243,.295,.294,.389,.537,.404,153,104.0,1011066
Dolph Camilli,- - -,1490,6352,239,936,950,60,14.9 %,15.1 %,.215,.299,.277,.388,.492,.403,136,44.0,1001860
Paul Waner,- - -,2549,10762,113,1627,1309,104,10.1 %,3.5 %,.140,.339,.333,.404,.473,.403,135,74.7,1013597
Hank Aaron,- - -,3298,13940,755,2174,2297,240,10.1 %,9.9 %,.250,.291,.305,.374,.555,.403,153,136.3,1000001
Jeff Heath,- - -,1383,5560,194,777,887,56,10.7 %,12.1 %,.216,.308,.293,.370,.509,.403,137,39.3,1005560
Goose Goslin,- - -,2287,9822,248,1483,1609,175,9.7 %,6.0 %,.184,.318,.316,.387,.500,.402,127,64.0,1004893
Chick Hafey,- - -,1283,5113,164,777,833,70,7.3 %,9.3 %,.209,.327,.317,.372,.526,.402,132,32.7,1005191
Benny Kauff,- - -,859,3564,49,521,454,234,10.3 %,8.8 %,.139,.334,.311,.389,.450,.402,149,34.1,1006715
Mike Tiernan,Giants,1476,6716,106,1313,851,428,11.1 %,5.8 %,.152,.320,.311,.392,.463,.402,132,43.8,1013062
Hal Trosky,- - -,1347,5747,228,835,1012,28,9.5 %,7.7 %,.219,.297,.302,.371,.522,.402,126,31.8,1013190
Dale Alexander,- - -,662,2736,61,369,459,20,9.1 %,7.2 %,.166,.342,.331,.394,.497,.402,126,14.0,1000121
Tommy Henrich,Yankees,1284,5409,183,901,795,37,13.2 %,7.1 %,.209,.276,.282,.382,.491,.401,131,38.6,1005664
Nap Lajoie,- - -,2480,10460,83,1504,1599,380,4.9 %,4.0 %,.128,.295,.338,.380,.467,.401,144,102.2,1007259
Lance Berkman,- - -,1879,7814,366,1146,1234,86,15.4 %,16.6 %,.243,.315,.293,.406,.537,.400,144,55.8,548
Alex Rodriguez,- - -,2563,11344,654,1919,1969,322,10.9 %,18.3 %,.259,.318,.299,.384,.558,.400,143,111.0,1274
Dick Allen,- - -,1748,7314,351,1099,1119,133,12.2 %,21.3 %,.242,.334,.292,.378,.534,.400,155,61.3,1000137
Ryan Braun,Brewers,944,4107,211,644,681,130,8.1 %,18.1 %,.252,.341,.312,.374,.564,.400,148,32.3,3410
Tip O'Neill,- - -,1054,4720,52,880,757,161,8.9 %,6.1 %,.132,.315,.326,.392,.458,.399,134,34.8,1009821
Roy Cullenbine,- - -,1181,4787,110,627,599,26,17.8 %,8.3 %,.155,.285,.276,.408,.432,.399,136,33.8,1002861
Ike Boone,- - -,356,1313,26,177,194,3,10.5 %,5.1 %,.154,.324,.321,.394,.475,.399,120,5.1,1001187
Arky Vaughan,- - -,1817,7721,96,1173,926,118,12.1 %,3.6 %,.136,.321,.318,.406,.453,.399,138,72.6,1013377
Elmer Flick,- - -,1483,6414,48,950,756,330,9.3 %, ,.132,.000,.313,.389,.445,.399,145,56.0,1004158
Bill Salkeld,- - -,356,1048,31,111,132,6,17.4 %,9.6 %,.160,.280,.273,.402,.433,.398,133,8.7,1011383
Dick Wakefield,- - -,638,2505,56,334,315,10,14.4 %,10.8 %,.154,.315,.293,.396,.447,.398,134,15.3,1013498
Dave Orr,- - -,791,3411,37,536,627,66,2.9 %,4.7 %,.160,.357,.342,.366,.502,.397,143,31.0,1009848
Bill Kenworthy,- - -,285,1113,18,159,146,61,6.0 %,7.2 %,.169,.320,.304,.360,.473,.397,137,9.1,1006854
Chipper Jones,Braves,2497,10614,468,1619,1623,150,14.2 %,13.3 %,.226,.313,.303,.401,.529,.397,141,85.1,97
Al Rosen,Indians,1044,4374,192,603,717,39,13.4 %,8.8 %,.210,.274,.285,.384,.495,.397,138,35.2,1011208
Albert Belle,- - -,1538,6676,381,974,1239,88,10.2 %,14.4 %,.269,.293,.295,.369,.564,.396,139,41.0,1000802
Elmer Smith,- - -,1234,5400,37,912,663,232,11.8 %,4.7 %,.124,.338,.310,.398,.434,.396,124,30.7,1012134
Cupid Childs,- - -,1456,6758,20,1214,743,269,14.7 %,3.2 %,.083,.328,.306,.416,.389,.396,123,45.6,1002186
Larry Doby,- - -,1533,6302,253,960,970,47,13.8 %,16.0 %,.207,.307,.283,.386,.490,.396,137,51.1,1003346
Ray Blades,Cardinals,767,2846,50,467,340,33,11.6 %,10.9 %,.159,.329,.301,.395,.460,.396,126,16.9,1001023
Bill Dickey,Yankees,1789,7060,202,930,1209,37,9.6 %,4.1 %,.173,.304,.313,.382,.486,.396,126,56.1,1003271
Mike Schmidt,Phillies,2400,10062,548,1506,1595,174,15.0 %,18.7 %,.260,.280,.267,.380,.527,.395,147,106.5,1011586
Jason Giambi,- - -,2233,8838,438,1224,1436,20,15.4 %,17.7 %,.241,.295,.278,.400,.519,.395,141,49.4,818
Earle Combs,Yankees,1455,6507,58,1186,632,96,10.3 %,4.3 %,.138,.334,.325,.397,.462,.395,127,41.3,1002478
Zeke Bonura,- - -,917,4026,119,600,704,19,10.0 %,4.5 %,.181,.299,.307,.380,.487,.394,119,22.5,1001176
Matt Holliday,- - -,1434,6119,251,949,966,101,9.7 %,16.5 %,.220,.343,.311,.387,.531,.394,140,46.4,1873
Ross Youngs,Giants,1211,5333,42,812,592,153,10.3 %,7.3 %,.118,.345,.322,.399,.441,.394,135,36.2,1014390
Ed Morgan,- - -,771,3257,52,512,473,36,11.8 %,7.7 %,.154,.330,.313,.398,.467,.394,120,13.4,1009176
Phil Weintraub,- - -,444,1630,32,215,207,4,14.2 %,11.2 %,.145,.321,.295,.398,.440,.394,134,10.1,1013741
Hugh Duffy,- - -,1737,7827,106,1552,1302,574,8.5 %,4.0 %,.125,.338,.324,.384,.449,.394,118,48.2,1003533
Wally Berger,- - -,1350,5663,242,809,898,36,7.7 %,12.3 %,.221,.309,.300,.359,.522,.393,136,42.7,1000875
Joe Medwick,- - -,1984,8142,205,1198,1383,42,5.4 %,6.8 %,.181,.329,.324,.362,.505,.393,133,54.6,1008719
Jim Bottomley,- - -,1991,8355,219,1177,1422,58,7.9 %,7.1 %,.191,.314,.310,.369,.500,.393,124,37.7,1001228
Joe Cronin,- - -,2124,8838,170,1233,1424,87,12.0 %,7.9 %,.166,.315,.301,.390,.468,.393,120,66.6,1002796
George Sisler,- - -,2055,9013,102,1284,1175,375,5.2 %,3.6 %,.128,.346,.340,.379,.468,.393,123,51.9,1012021
George Grantham,- - -,1444,5897,105,912,712,132,12.2 %,8.9 %,.159,.322,.302,.392,.461,.393,123,34.9,1004947
Kiki Cuyler,- - -,1878,8098,128,1305,1065,328,8.3 %,9.3 %,.152,.346,.321,.386,.474,.393,126,52.9,1002914
Cap Anson,- - -,2523,11319,97,1996,2076,276,8.7 %,2.8 %,.112,.339,.333,.393,.445,.393,134,91.2,1000272
David Ortiz,- - -,1966,8249,431,1208,1429,15,13.2 %,17.9 %,.262,.305,.287,.381,.549,.392,138,40.9,745
Jimmy Bannon,- - -,366,1616,19,292,253,99,9.4 %,6.3 %,.126,.335,.320,.390,.447,.392,106,6.5,1000518
Gary Sheffield,- - -,2573,10947,509,1636,1676,253,13.5 %,10.7 %,.222,.285,.292,.393,.514,.391,141,62.5,114
Carlos Delgado,- - -,2034,8657,473,1241,1512,14,12.8 %,20.2 %,.266,.303,.280,.383,.546,.391,135,43.7,1297
Ferris Fain,- - -,1151,4904,48,595,570,46,18.4 %,5.3 %,.106,.301,.290,.424,.396,.390,127,27.8,1003902
Mike Piazza,- - -,1908,7745,427,1048,1335,17,9.8 %,14.4 %,.237,.314,.308,.377,.545,.390,140,63.6,893
Rudy York,- - -,1603,6720,277,876,1152,38,11.8 %,12.9 %,.208,.283,.275,.362,.483,.390,122,39.1,1014354
Vladimir Guerrero,- - -,2145,9059,449,1328,1496,181,8.1 %,10.9 %,.235,.316,.318,.379,.553,.390,136,56.5,778
Earl Webb,- - -,650,2460,56,326,333,8,10.6 %,8.2 %,.173,.318,.306,.381,.478,.390,123,12.3,1013708
Fred Clarke,- - -,2242,9819,67,1619,1015,506,8.9 %,5.4 %,.117,.320,.312,.386,.429,.390,131,72.8,1002280
Heinie Manush,- - -,2008,8416,110,1287,1183,114,6.0 %,4.1 %,.149,.335,.330,.377,.479,.389,120,43.1,1008089
Monte Irvin,- - -,764,2893,99,366,443,28,12.1 %,7.6 %,.182,.288,.293,.383,.475,.389,127,20.8,1006275
Gabby Hartnett,- - -,1990,7297,236,867,1179,28,9.6 %,9.6 %,.192,.305,.297,.370,.489,.389,127,53.7,1005458
Eddie Mathews,- - -,2391,10101,512,1509,1453,68,14.3 %,14.7 %,.238,.273,.271,.376,.509,.389,143,96.1,1008236
Joe Hauser,- - -,629,2367,80,351,356,19,10.6 %,9.7 %,.195,.289,.284,.368,.480,.389,116,11.5,1005502
Al Wingo,- - -,493,1575,9,224,191,23,13.4 %,7.6 %,.115,.334,.308,.404,.423,.389,116,5.8,1014131
Bug Holliday,Red Stockings,928,4036,65,728,617,248,8.9 %,5.7 %,.137,.321,.311,.376,.448,.389,120,19.6,1005957
Harmon Killebrew,- - -,2435,9831,573,1283,1584,19,15.9 %,17.3 %,.252,.254,.256,.376,.509,.389,142,66.1,1006905
Cy Williams,- - -,2002,7720,251,1024,1005,115,8.9 %,9.3 %,.178,.298,.292,.365,.470,.388,123,37.2,1013981
Prince Fielder,- - -,1322,5612,285,736,870,18,12.9 %,17.5 %,.242,.303,.286,.389,.527,.388,140,27.7,4613
Hack Miller,- - -,349,1289,38,164,205,10,5.0 %,8.0 %,.168,.330,.323,.361,.490,.388,119,6.2,1008899
Ross Barnes,- - -,499,2506,6,698,350,73,4.5 %,2.6 %,.105,.368,.359,.388,.464,.388,148,30.4,1000573
Sid Gordon,- - -,1475,5811,202,735,805,19,12.6 %,6.1 %,.183,.273,.283,.377,.466,.388,128,35.8,1004877
Henry Larkin,- - -,1184,5302,53,925,836,129,9.1 %,5.2 %,.137,.314,.303,.380,.440,.388,131,30.8,1007348
Willie McCovey,- - -,2588,9691,521,1229,1555,26,13.9 %,16.0 %,.245,.273,.270,.374,.515,.388,145,67.4,1008423
Brian Giles,- - -,1836,7836,287,1121,1078,109,15.1 %,10.7 %,.212,.294,.291,.400,.502,.388,136,54.8,990
Harlond Clift,- - -,1582,6894,178,1070,829,69,15.5 %,10.3 %,.169,.285,.272,.390,.441,.387,114,38.9,1002352
Willie Stargell,Pirates,2356,9026,475,1195,1540,17,10.4 %,21.4 %,.247,.314,.282,.360,.529,.387,145,62.9,1012426
Joe Connolly,Braves,412,1468,14,202,157,48,11.4 %,8.9 %,.136,.314,.288,.380,.425,.387,133,8.9,1002532
Don Hurst,- - -,905,3762,115,510,610,41,10.4 %,5.6 %,.180,.292,.298,.375,.478,.387,113,12.1,1006223
Tony Lazzeri,- - -,1740,7303,178,986,1191,148,11.9 %,11.8 %,.174,.316,.292,.380,.467,.387,122,50.1,1007422
Pete Reiser,- - -,861,3053,58,473,368,87,11.2 %,12.1 %,.154,.326,.295,.380,.450,.387,130,22.1,1010814
Sam Crawford,- - -,2517,10594,97,1391,1525,366,7.2 %,4.1 %,.143,.307,.309,.362,.452,.387,138,71.1,1002748
Bill Nicholson,- - -,1677,6418,235,837,948,27,12.5 %,12.9 %,.198,.279,.268,.365,.465,.387,132,40.6,1009554
George Harper,- - -,1073,3927,91,505,528,58,9.9 %,5.3 %,.152,.303,.303,.380,.455,.387,118,18.9,1005378
Mo Vaughn,- - -,1510,6410,328,861,1064,30,11.3 %,22.3 %,.230,.338,.293,.383,.523,.387,129,31.4,899
Jimmy Ryan,- - -,2012,9106,118,1642,1093,418,8.8 %,6.2 %,.137,.323,.306,.374,.444,.386,119,45.7,1011341
Del Bissonette,Robins,604,2564,66,359,391,17,9.1 %,10.5 %,.181,.324,.305,.371,.486,.386,118,9.8,1000997
Whitey Kurowski,Cardinals,916,3691,106,518,529,19,10.0 %,9.0 %,.168,.293,.286,.366,.455,.386,127,24.7,1007215
Bob Meusel,- - -,1407,6028,156,826,1068,142,6.2 %,10.3 %,.187,.327,.309,.356,.497,.386,117,28.4,1008817
Roy Campanella,Dodgers,1215,4816,242,627,856,25,11.1 %,10.4 %,.224,.264,.276,.360,.500,.385,123,38.2,1001871
Jim Edmonds,- - -,1995,7980,393,1251,1199,67,12.5 %,21.7 %,.243,.324,.284,.376,.527,.385,132,64.2,1153
Ripper Collins,- - -,1084,4205,135,615,659,18,8.5 %,8.9 %,.196,.301,.296,.360,.492,.385,126,24.2,1002464
Hughie Jennings,- - -,1284,5639,18,994,840,359,6.2 %,4.0 %,.094,.330,.311,.390,.406,.385,119,44.9,1006396
Frank Chance,- - -,1286,5099,20,797,596,401,10.9 %,5.6 %,.097,.298,.296,.394,.394,.385,137,48.1,1002131
Ken Griffey Jr.,- - -,2668,11304,630,1662,1836,184,11.6 %,15.7 %,.254,.287,.284,.370,.538,.384,131,77.4,327
Enos Slaughter,- - -,2380,9084,169,1247,1304,71,11.2 %,5.9 %,.153,.305,.300,.382,.453,.384,126,51.4,1012060
Zack Wheat,- - -,2410,9996,132,1289,1248,205,6.5 %,5.7 %,.134,.327,.317,.367,.450,.384,128,63.1,1013828
Frank Baker,- - -,1575,6660,96,887,987,235,7.1 %,4.4 %,.135,.303,.307,.363,.442,.384,134,60.1,1000453
George Van Haltren,- - -,1984,8979,69,1639,1014,583,9.7 %,5.8 %,.101,.332,.316,.385,.417,.384,119,44.8,1013357
John Stone,- - -,1200,5006,77,739,707,45,9.2 %,7.0 %,.158,.323,.310,.376,.467,.384,115,24.4,1012568
Willie Keeler,- - -,2123,9594,33,1719,810,495,5.5 %,1.7 %,.073,.375,.341,.388,.415,.383,124,55.7,1006747
Dixie Walker,- - -,1905,7666,105,1037,1023,59,10.7 %,4.2 %,.131,.310,.306,.383,.437,.383,122,41.6,1013512
Mike Griffin,- - -,1511,6832,42,1405,719,473,11.8 %,4.7 %,.111,.309,.296,.388,.407,.383,122,45.3,1005047
Tim Salmon,Angels,1669,7039,299,986,1016,48,13.8 %,19.3 %,.216,.317,.282,.385,.498,.383,130,35.1,32
Les Fleming,- - -,434,1572,29,168,199,7,14.4 %,9.7 %,.140,.296,.277,.386,.417,.383,132,9.9,1004146
Frank Brower,- - -,450,1522,30,206,205,17,11.0 %,5.5 %,.157,.288,.286,.379,.443,.383,116,6.5,1001489
Fred McGriff,- - -,2455,10174,493,1349,1550,72,12.8 %,18.5 %,.225,.309,.284,.377,.509,.383,134,57.2,293
Bobby Veach,- - -,1821,7557,64,953,1166,195,7.6 %,4.9 %,.132,.321,.310,.370,.442,.383,124,43.7,1013388
Juan Gonzalez,- - -,1686,7155,434,1061,1404,26,6.4 %,17.8 %,.265,.305,.295,.343,.561,.383,129,36.0,1251
Max Bishop,- - -,1338,5776,41,966,379,43,20.0 %,7.8 %,.095,.294,.271,.423,.366,.382,113,37.5,1000994
Minnie Minoso,- - -,1835,7710,186,1136,1023,205,10.6 %,7.6 %,.161,.303,.298,.389,.459,.382,133,50.7,1008984
Wally Judnich,- - -,790,3207,90,424,420,20,12.0 %,9.3 %,.172,.289,.281,.369,.452,.382,118,16.1,1006645
Bobby Estalella,- - -,680,2569,44,279,308,13,13.6 %,9.6 %,.138,.302,.282,.383,.421,.382,127,14.6,1003837
Bob Caruthers,- - -,705,2906,29,508,359,152,14.3 %,5.7 %,.118,.285,.282,.391,.400,.382,130,17.1,1002026
Augie Galan,- - -,1742,7003,100,1004,830,123,14.0 %,5.6 %,.132,.295,.287,.390,.419,.382,125,43.4,1004440
Norm Cash,- - -,2086,7910,377,1046,1103,43,13.2 %,13.8 %,.217,.273,.271,.374,.488,.382,139,54.6,1002043
Oyster Burns,- - -,1187,5143,65,869,832,263,9.0 %,5.3 %,.146,.310,.300,.368,.446,.381,127,28.1,1001716
Will Clark,- - -,1975,8283,284,1186,1205,67,11.3 %,14.4 %,.193,.326,.303,.384,.497,.381,136,52.0,1002318
Mike Grady,- - -,918,3420,34,486,449,114,9.1 %,6.4 %,.130,.359,.294,.374,.424,.381,122,20.0,1004917
Sherry Magee,- - -,2087,8546,83,1112,1176,441,8.6 %,7.0 %,.135,.308,.291,.364,.427,.381,134,63.4,1007965
Paul Goldschmidt,Diamondbacks,353,1474,64,213,233,37,12.1 %,22.3 %,.228,.340,.289,.376,.517,.381,139,9.8,9218
David Wright,Mets,1374,5945,222,853,876,183,11.3 %,18.3 %,.205,.341,.301,.382,.506,.381,137,50.2,3787
Wade Boggs,- - -,2437,10740,118,1513,1013,24,13.1 %,6.9 %,.115,.344,.328,.415,.443,.381,132,88.3,1001124
Babe Phelps,- - -,726,2306,54,239,345,9,6.9 %,6.8 %,.162,.316,.310,.362,.472,.381,126,15.3,1010275
Kal Daniels,- - -,724,2739,104,391,360,87,13.3 %,18.0 %,.194,.319,.285,.382,.479,.381,140,16.9,1002973
Mark Teixeira,- - -,1512,6621,341,943,1113,21,11.4 %,17.2 %,.248,.291,.278,.368,.525,.381,131,40.7,1281
Wally Schang,- - -,1842,6423,59,769,710,121,13.2 %,8.9 %,.117,.310,.284,.393,.401,.380,120,41.0,1011521
Harry Stovey,- - -,1486,6832,122,1492,908,509,9.7 %,9.4 %,.173,.294,.289,.361,.461,.380,132,54.9,1012586
David Justice,- - -,1604,6602,305,929,1017,53,13.7 %,15.1 %,.221,.289,.279,.378,.500,.380,130,40.4,923
Len Koenecke,- - -,265,1064,22,155,114,11,11.7 %,9.0 %,.144,.313,.297,.383,.441,.380,124,6.3,1007076
Bobby Doerr,Red Sox,1865,8028,223,1094,1247,54,10.1 %,7.6 %,.173,.290,.288,.362,.461,.380,115,53.3,1003355
Lu Blue,- - -,1615,7207,44,1151,695,151,15.2 %,6.0 %,.113,.305,.287,.402,.401,.380,112,33.3,1001093
Bob Elliott,- - -,1978,8190,170,1064,1195,60,11.8 %,7.4 %,.151,.297,.289,.375,.440,.380,124,50.5,1003733
Tuck Turner,- - -,377,1650,7,294,213,53,7.8 %,6.7 %,.110,.375,.320,.377,.429,.380,106,2.9,1013237
Bubbles Hargrave,- - -,852,2852,29,314,376,29,7.6 %,5.8 %,.141,.324,.310,.372,.452,.380,120,19.3,1005359
Kevin Mitchell,- - -,1216,4696,234,630,760,30,10.5 %,15.3 %,.236,.291,.284,.360,.520,.380,140,29.6,1009004
Edd Roush,- - -,1967,8156,68,1099,981,268,5.9 %,3.2 %,.123,.328,.323,.369,.446,.380,127,49.6,1011247
Rafael Palmeiro,- - -,2822,12046,569,1663,1835,97,11.2 %,11.2 %,.226,.283,.288,.371,.515,.380,130,70.0,1266
Johnny Mostil,White Sox,972,4096,23,618,376,176,10.1 %,8.2 %,.126,.328,.301,.386,.427,.380,114,22.9,1009255
Hank Sauer,- - -,1399,5414,288,709,876,11,10.4 %,13.2 %,.230,.260,.266,.347,.496,.380,122,25.1,1011459
