Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,WAR,playerid
Phil Roof,- - -,832,2404,43,190,210,11,7.7 %,21.0 %,.104,.261,.215,.283,.319,.276,72,4.9,1011182
Phil Linz,- - -,519,1518,11,185,96,13,7.4 %,12.8 %,.077,.265,.235,.295,.311,.276,75,1.3,1007642
Jake Gibbs,Yankees,538,1795,25,157,146,28,6.7 %,12.9 %,.088,.256,.233,.289,.321,.275,79,6.6,1004660
Domingo Ramos,- - -,435,1210,8,109,85,6,7.6 %,11.4 %,.057,.267,.240,.302,.297,.275,65,-2.3,1010677
Eddie Mulligan,- - -,350,1389,1,143,88,23,5.0 %,8.6 %,.074,.257,.232,.278,.307,.275,53,-3.3,1009300
Harry Lyons,- - -,407,1815,7,246,198,120,5.3 %,5.2 %,.055,.257,.234,.277,.289,.275,74,0.2,1007883
Julio Becquer,- - -,488,1029,12,100,114,8,4.0 %,11.7 %,.108,.267,.244,.276,.352,.275,64,-2.5,1000760
Bobby Gene Smith,- - -,476,1034,13,101,96,5,5.3 %,14.9 %,.087,.276,.243,.284,.331,.275,63,-0.2,1012102
Mike Phillips,- - -,664,1886,11,166,145,12,6.6 %,12.4 %,.074,.268,.240,.291,.314,.275,68,1.0,1010296
Robert Andino,- - -,468,1467,18,157,96,24,7.7 %,21.1 %,.086,.288,.232,.294,.318,.275,65,0.2,4900
Tim Murnane,- - -,384,1695,5,338,127,38,3.5 %,4.0 %,.038,.276,.261,.287,.299,.275,96,3.8,1009343
Ollie O'Mara,- - -,412,1639,2,166,77,46,5.2 %,6.4 %,.048,.248,.231,.280,.279,.275,67,0.0,1009799
Gary Sutherland,- - -,1008,3385,24,308,239,11,6.1 %,6.5 %,.065,.254,.243,.291,.308,.275,67,-5.6,1012739
Jim Stephens,Browns,428,1377,3,95,97,14,5.6 %, ,.065,.000,.220,.273,.285,.275,72,1.4,1012495
Joe Simpson,- - -,501,1531,9,166,124,45,5.9 %,12.4 %,.075,.273,.242,.289,.317,.275,64,-2.0,1011996
Red Kleinow,- - -,584,1875,3,146,135,42,8.2 %,12.5 %,.056,.143,.213,.282,.269,.275,71,2.2,1006995
Ted Kubiak,- - -,936,2784,13,238,202,13,9.7 %,9.8 %,.058,.253,.231,.307,.289,.275,72,1.2,1007190
Jimmy Smith,- - -,370,1237,12,119,108,18,5.1 %,15.0 %,.087,.253,.219,.265,.306,.275,61,-1.9,1012162
Ed Romero,- - -,658,2111,8,218,155,9,6.6 %,7.5 %,.055,.264,.247,.298,.302,.275,67,-5.0,1011171
Ruben Amaro,- - -,940,2451,8,211,156,11,9.3 %,11.4 %,.058,.265,.234,.309,.292,.274,71,2.3,1000206
Danny Thompson,- - -,681,2411,15,189,194,8,5.0 %,9.7 %,.062,.269,.248,.287,.310,.274,69,2.0,1013003
Frank Dwyer,- - -,394,1340,5,178,136,16,5.2 %,7.1 %,.068,.247,.229,.273,.297,.274,54,-2.7,1003607
Lena Blackburne,- - -,549,2086,4,173,139,54,7.8 %,8.3 %,.054,.242,.214,.284,.268,.274,69,2.4,1001020
Mike Muldoon,- - -,495,2030,10,254,187,12,4.5 %,11.4 %,.090,.263,.233,.270,.323,.274,91,5.1,1009290
Bill Harbidge,- - -,378,1590,2,200,114,2,5.0 %,5.6 %,.056,.253,.247,.285,.303,.274,95,2.8,1005338
Tom O'Brien,- - -,270,1165,4,158,61,16,4.5 %,11.1 %,.092,.228,.231,.267,.323,.274,88,0.7,1009703
Roy Schalk,- - -,282,1238,2,100,109,8,6.4 %,7.7 %,.049,.253,.233,.285,.281,.274,64,-1.3,1011518
John Kennedy,- - -,853,2324,32,237,185,14,6.1 %,19.8 %,.098,.272,.225,.281,.323,.274,70,-2.9,1006844
Kenny Williams,- - -,412,1253,27,136,119,49,4.5 %,23.1 %,.120,.266,.218,.269,.339,.274,67,0.3,1014013
Dolf Luque,- - -,559,1189,5,96,90,7,5.9 %,9.6 %,.063,.251,.227,.283,.291,.274,56,3.7,1007843
Alvaro Espinoza,- - -,813,2659,22,252,201,13,2.9 %,12.2 %,.076,.283,.254,.279,.331,.274,64,2.9,1003828
Jack Taylor,- - -,338,1154,2,110,87,18,5.7 %, ,.070,.000,.223,.271,.292,.274,70,2.5,1012879
Mike McGeary,- - -,547,2507,0,484,236,65,1.0 %,2.4 %,.033,.283,.276,.283,.309,.274,94,11.1,1008506
Jack McGeachy,- - -,608,2530,9,345,276,164,2.3 %,5.8 %,.069,.258,.245,.265,.314,.274,67,-3.5,1008505
